propertyId,date sold,primaryPropertyType,secondaryPropertyType,primaryCategory,address,state,locarea,suburb,postcode,suburbId,price,buildingsize,landsize,bedrooms,bathrooms,parking,medianPrice,propertyFeatures
YK-9586-XB,01 Dec 2012,Apartment,Apartment / Unit / Flat,Sold,"12/225 Darley Road, RANDWICK NSW 2031",NSW,eastern_suburbs,Randwick,2031,36632,"$585,000",0,0,2,1,1,0K,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Secure Parking, Terrace-Balcony"
,07 Jul 2015,Apartment,Apartment / Unit / Flat,Sold,"208/79-87 Princes  Highway, Kogarah NSW 2217",NSW,st_george,Kogarah,2217,24012,Price Withheld,0,0,1,1,1,0K,"Air Conditioning, Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Alarm System, Intercom, Security Access, Lift Installed"
A23930102,01 Nov 2013,Apartment,Apartment / Unit / Flat,Sold,"132/555 Princes Highway, ROCKDALE NSW 2216",NSW,st_george,Rockdale,2216,37352,"$545,000",0,0,2,2,2,0K,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Formal Lounge, Separate Dining"
DF-6706-DG,13 Jun 2014,Apartment,Apartment / Unit / Flat,Sold,"6/57 Oxford Street, EPPING NSW 2121",NSW,northern_suburbs,Epping,2121,15852,"$545,000",0,0,2,1,1,0K,
KH-2674-NB,05 Aug 2016,Apartment,Apartment / Unit / Flat,Sold,"12/26 High Street, Carlton NSW 2218",NSW,st_george,Carlton,2218,8952,"$615,000",0,0,2,1,1,0K,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Secure Parking, Terrace-Balcony"
HS-3949-CU,16 Sep 2011,Apartment,Apartment / Unit / Flat,Sold,"337/298 Sussex Street, SYDNEY NSW 2000",NSW,sydney_city,Sydney,2000,41352,"$505,000",0,0,1,1,1,0K,"Close to Shops, Close to Transport, Pool, Air Conditioning/Heating, Secure Parking"
,06 Oct 2009,Apartment,Apartment / Unit / Flat,Sold,"47/104 Miller Street, PYRMONT NSW 2009",NSW,sydney_city,Pyrmont,2009,36382,"$572,500",99,0,2,1,1,0K,"Air Conditioning/Heating,Built-In Wardrobes,Car Space,Close to Shops,Close to Transport,Formal Lounge,Garden,Gas Kitchen,Internal Laundry,Pool,Secure Parking,Terrace-Balcony"
LJ-5757-KK,25 Jun 2015,Apartment,Apartment / Unit / Flat,Sold,"6/48 Middle Head  Road, Mosman NSW 2088",NSW,north_shore_lower,Mosman,2088,30012,"$611,500",0,0,1,1,1,0K,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Ensuite, Intercom, Area Views, Ocean Views, Security Access"
,24 Sep 2012,Apartment,Apartment / Unit / Flat,Sold,"26/4 Hutchinson Walk, Zetland NSW 2017",NSW,eastern_suburbs,Zetland,2017,50432,"$635,000",0,0,2,2,1,0K,
FE-2315-RL,30 Nov 2012,Apartment,Apartment / Unit / Flat,Sold,"1/16A Fairlight Street, MANLY NSW 2095",NSW,northern_beaches,Manly,2095,27222,"$585,500",0,0,2,1,1,0K,
QB-8644-JR,02 Feb 2015,Apartment,Apartment / Unit / Flat,Sold,"4/17-19 Henley Road, Homebush West NSW 2140",NSW,inner_west,Homebush West,2140,21292,"$598,000",0,0,2,1,1,0K,"Air Conditioning, Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Intercom, Security Access, Car Parking - Basement"
YM-3052-CZ,28 Nov 2015,Apartment,Apartment / Unit / Flat,Sold,"27/146 Parramatta Road, Homebush NSW 2140",NSW,inner_west,Homebush,2140,21262,"$585,000",0,0,2,2,2,0K,"Close to Schools, Close to Shops, Close to Transport, Ensuite, Balcony, Built-In-Robes, Combined Lounge/Dining Room, Dishwasher, Dryer, Gas, Open plan kitchen, Secuirty Building/Intercom, Split System Air Con"
NJ-2762-DH,30 Oct 2013,Apartment,Apartment / Unit / Flat,Sold,"43/10 Goodwin Street, NARRABEEN NSW 2101",NSW,northern_beaches,Narrabeen,2101,32002,"$560,000",0,0,2,1,1,0K,"Air Conditioning,Balcony / Deck,Built in wardrobes,Dishwasher,Internal Laundry,Secure Parking,Swimming Pool"
ZA-6333-GU,30 May 2014,Apartment,Apartment / Unit / Flat,Sold,"4/641-653 Pacific Highway, CHATSWOOD NSW 2067",NSW,north_shore_lower,Chatswood,2067,9782,"$638,000",0,0,2,1,1,0K,"Dishwasher, Lounge"
UN-6624-WL,02 Jul 2015,Apartment,Apartment / Unit / Flat,Sold,"63/491 President Avenue, SUTHERLAND NSW 2232",NSW,sutherland,Sutherland,2232,41192,"$560,000",0,97 sqm,2,1,1,0K,"Air Conditioning, Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Formal Lounge, Pool, Secure Parking, Terrace-Balcony"
XW-0543-OQ,01 Dec 2015,Apartment,Apartment / Unit / Flat,Sold,"201/63-71 Enmore Road, Newtown NSW 2042",NSW,inner_west,Newtown,2042,32672,"$600,000",0,0,1,1,1,0K,
YT-1748-RB,25 Mar 2016,Apartment,Apartment / Unit / Flat,Sold,"5/318 Railway Terrace, Guildford NSW 2161",NSW,parramatta,Guildford,2161,19692,"$503,021",0,0,2,2,1,0K,"Balcony, Built in wardrobes, Gas Stove"
,12 Feb 2015,Apartment,Apartment / Unit / Flat,Sold,"615/82-92 Cooper Street, SURRY HILLS NSW 2010",NSW,eastern_suburbs,Surry Hills,2010,41162,"$715,000",82,0,1,1,1,0K,
,01 Oct 2015,,,,,,,,,,,,,,,,,
A6894985,22 Nov 2011,Apartment,Apartment / Unit / Flat,Sold,"11/44-50 Cassia Street, Dee Why NSW 2099",NSW,northern_beaches,Dee Why,2099,13452,"$520,000",101,0,2,1,1,0K,"Balcony / Patio / Terrace,Bath,Built in Wardrobes,Close to Shops,Close to Transport,Intercom,Internal Laundry"
,23 Feb 2016,Apartment,Apartment / Unit / Flat,Sold,"2/1-3 Thomas Street, Waitara NSW 2077",NSW,north_shore_upper,Waitara,2077,45612,"$599,000",0,0,2,1,1,0K,
,12 Oct 2015,Apartment,Apartment / Unit / Flat,Sold,"51/370-376 George Street, Waterloo NSW 2017",NSW,eastern_suburbs,Waterloo,2017,46622,"$865,000",0,0,2,2,1,0K,
,29 May 2014,Apartment,Apartment / Unit / Flat,Sold,"1/434 Mowbray Road, Lane Cove NSW 2066",NSW,north_shore_lower,Lane Cove,2066,24982,Price Withheld,0,0,2,1,1,0K,
JH-6375-KM,03 Mar 2017,Apartment,Apartment / Unit / Flat,Sold,"405/18 Woodlands Avenue, Breakfast Point NSW 2137",NSW,inner_west,Breakfast Point,2137,6182,"$735,000",0,90 sqm,1,1,1,0K,
CH-1697-CK,02 Dec 2009,Apartment,Apartment / Unit / Flat,Sold,"6/19-27 Glenmore Road, Naremburn NSW 2065",NSW,north_shore_lower,Naremburn,2065,31962,"$615,000",0,0,2,2,1,0K,
QZ-9555-DC,22 Oct 2013,Apartment,Apartment / Unit / Flat,Sold,"30/6 Dutruc Street, Randwick NSW 2031",NSW,eastern_suburbs,Randwick,2031,36632,"$620,000",78,0,1,1,1,0K,"Close to Schools, Close to Shops, Close to Transport, Intercom, Courtyard, Security Access, Floorboards"
RV-4661-LB,04 Jul 2016,Apartment,Apartment / Unit / Flat,Sold,"4/22 May Street, Eastwood NSW 2122",NSW,northern_suburbs,Eastwood,2122,15212,"$525,000",0,0,1,1,1,0K,Secure Parking
A28361662,18 Apr 2011,Apartment,Apartment / Unit / Flat,Sold,"23/33 Palomar Parade, Freshwater NSW 2096",NSW,northern_beaches,Freshwater,2096,63222,"$515,000",0,0,2,1,1,0K,
DL-6060-DL,12 Dec 2016,Apartment,Apartment / Unit / Flat,Sold,"11/6-8 Queens Road, Brighton-Le-Sands NSW 2216",NSW,st_george,Brighton-Le-Sands,2216,6332,"$650,000",0,0,2,1,1,0K,
IP-5354-LM,24 Apr 2015,Apartment,Apartment / Unit / Flat,Sold,"13/41-43 Vermont Street, SUTHERLAND NSW 2232",NSW,sutherland,Sutherland,2232,41192,"$560,000",0,0,2,1,1,0K,
MW-4389-AO,04 May 2016,Apartment,Apartment / Unit / Flat,Sold,"3/38 Centennial Avenue, Lane Cove NSW 2066",NSW,north_shore_lower,Lane Cove,2066,24982,"$700,000",0,0,2,1,1,0K,
PN-0809-ZU,26 May 2011,Apartment,Apartment / Unit / Flat,Sold,"16/21 George Street, Burwood NSW 2134",NSW,inner_west,Burwood,2134,7832,"$525,000",0,0,2,1,1,0K,Secure Parking
SQ-3341-TA,19 Oct 2013,Apartment,Apartment / Unit / Flat,Sold,"948/2 Marquet St., Rhodes NSW 2138",NSW,inner_west,Rhodes,2138,37132,"$638,000",0,0,2,2,3,0K,"Balcony / Deck,Bath,Built in wardrobes,Dishwasher,Ensuite,Ensuite(s),Gas,Gym,Intercom,Internal Laundry,Secure Parking,Secure parking,Swimming Pool"
MQ-4118-DI,13 Dec 2014,Apartment,Apartment / Unit / Flat,Sold,"7/166 Oberon Street, Coogee NSW 2034",NSW,eastern_suburbs,Coogee,2034,11282,"$740,000",0,0,2,1,1,0K,
