propertyId,primaryPropertyType,secondaryPropertyType,primaryCategory,address,state,locarea,suburb,postcode,suburbId,price,price_adjusted,buildingsize,landsize,bedrooms,bathrooms,parking,medianPrice,propertyFeatures
,Apartment,Apartment / Unit / Flat,Sold,"34/392-402 Windsor Rd, Baulkham Hills NSW 2153",NSW,hills,Baulkham Hills,2153,2642,"$568,550 ","$568,550 ",0,0,2,2,1,0K,
WT-5531-VN,Apartment,Apartment / Unit / Flat,Sold,"9/13 Macpherson Street, WAVERLEY NSW 2024",NSW,eastern_suburbs,Waverley,2024,46782,"$665,000 ","$665,000 ",79,0,2,1,1,0K,
YU-9985-VH,Apartment,Apartment / Unit / Flat,Sold,"31/3 Bariston Avenue, CREMORNE NSW 2090",NSW,north_shore_lower,Cremorne,2090,12182,"$705,000 ","$705,000 ",0,0,2,1,1,0K,Secure Parking
LM-2489-QY,Apartment,Apartment / Unit / Flat,Sold,"10/2-4 Railway Parade, Kogarah NSW 2217",NSW,st_george,Kogarah,2217,24012,"$593,000 ","$593,000 ",0,1042 sqm,2,1,2,0K,"Balcony / Deck,Bath,Built in wardrobes,Cable or Satellite,Close To Shopping Center,Close To Train Station,Dishwasher,Extra Large Store Room,Gas,Heating,Intercom,Internal Laundry,North Facing,Secure Parking,Separate Dining Room,Study"
NB-6604-HC,Apartment,Apartment / Unit / Flat,Sold,"6/68 Shirley Road, Wollstonecraft NSW 2065",NSW,north_shore_lower,Wollstonecraft,2065,48722,"$775,000 ","$775,000 ",0,0,2,1,1,0K,
,Apartment,Apartment / Unit / Flat,Sold,"412/1 Larkin Street, Camperdown NSW 2050",NSW,inner_west,Camperdown,2050,8552,"$598,000 ","$598,000 ",0,138 sqm,2,2,1,0K,"Air conditioning,Alarm System,Balcony / Deck,Bath,Broadband internet access,Built in wardrobes,Cable or Satellite,Dishwasher,Ensuite,Floorboards,Gas,Intercom,Internal Laundry,Secure Parking,Study"
YV-6051-AD,Apartment,Apartment / Unit / Flat,Sold,"130/1-3 Beresford Road, STRATHFIELD NSW 2135",NSW,inner_west,Strathfield,2135,40782,Price Withheld,$0 ,0,0,2,2,2,0K,
IA-9819-DL,Apartment,Apartment / Unit / Flat,Sold,"16/15 Kooloora  Avenue, Freshwater NSW 2096",NSW,northern_beaches,Freshwater,2096,63222,"$520,000 ","$520,000 ",35,0,1,1,1,0K,
,Apartment,Apartment / Unit / Flat,Sold,"13/1074 Botany Road, Botany NSW 2019",NSW,eastern_suburbs,Botany,2019,5802,"$601,000 ","$601,000 ",0,0,2,1,1,0K,"Built-In Wardrobes,Close to Schools,Close to Shops,Close to Transport"
OQ-9631-IP,Apartment,Apartment / Unit / Flat,Sold,"105/1 McKinnon Avenue, FIVE DOCK NSW 2046",NSW,inner_west,Five Dock,2046,17052,"$535,000 ","$535,000 ",0,0,2,1,1,0K,
ES-9579-IO,House,House,Sold,"6 Second Avenue, JANNALI NSW 2226",NSW,sutherland,Jannali,2226,22102,"$630,000 ","$630,000 ",0,0,2,2,2,0K,
JP-8435-WF,Apartment,Apartment / Unit / Flat,Sold,"3/16 Arcadia St, Penshurst NSW 2222",NSW,st_george,Penshurst,2222,35362,"$632,500 ","$632,500 ",0,0,2,1,1,0K,"Secure parking,Intercom,Internal Laundry,Garden / Courtyard,Ground floor"
,Apartment,Apartment / Unit / Flat,Sold,"20/306 Bronte Road, WAVERLEY NSW 2024",NSW,eastern_suburbs,Waverley,2024,46782,"$665,000 ","$665,000 ",0,0,2,2,1,0K,
ZD-0115-WB,Apartment,Apartment / Unit / Flat,Sold,"24/151A Smith Street, SUMMER HILL NSW 2130",NSW,inner_west,Summer Hill,2130,40992,"$490,000 ","$490,000 ",0,0,2,1,1,0K,
,Apartment,Apartment / Unit / Flat,Sold,"5/2 Ilikai Place, DEE WHY NSW 2099",NSW,northern_beaches,Dee Why,2099,13452,Price Withheld,$0 ,0,0,2,1,1,0K,
KN-9753-EI,Apartment,Apartment / Unit / Flat,Sold,"4/7 Bank Street, MEADOWBANK NSW 2114",NSW,northern_suburbs,Meadowbank,2114,28092,"$453,000 ","$453,000 ",0,0,2,1,1,0K,
A21707092,Apartment,Apartment / Unit / Flat,Sold,"Sydney Park Road, Erskineville NSW 2043",NSW,inner_west,Erskineville,2043,15982,"$410,000 ","$410,000 ",87,0,1,1,1,0K,"Balcony / Patio / Terrace,Bath,Built in Wardrobes,Close to Schools,Close to Shops,Close to Transport,Gym,Intercom,Internal Laundry,Lift,Modern Bathroom,Modern Kitchen,Swimming Pool,Tennis Court"
,Apartment,Apartment / Unit / Flat,Sold,"5/26 Nelson Street, Penshurst NSW 2222",NSW,st_george,Penshurst,2222,35362,"$572,000 ","$572,000 ",90,0,2,1,1,0K,"Air Conditioning, Close to Schools, Close to Shops, Close to Transport, Secure Parking, Terrace-Balcony"
,Apartment,Apartment / Unit / Flat,Sold,"8/135 Church Street, Camperdown NSW 2050",NSW,inner_west,Camperdown,2050,8552,"$595,000 ","$595,000 ",0,0,2,2,2,0K,
WR-8594-DZ,Apartment,Apartment / Unit / Flat,Sold,"62/551 Elizabeth Street, Surry Hills NSW 2010",NSW,eastern_suburbs,Surry Hills,2010,41162,"$605,000 ","$605,000 ",0,0,1,1,1,0K,
IV-7371-WG,Apartment,Apartment / Unit / Flat,Sold,"7/292-298 Burns Bay Road, LANE COVE NSW 2066",NSW,north_shore_lower,Lane Cove,2066,24982,"$525,000 ","$525,000 ",0,0,2,2,2,0K,
QN-8823-PV,Apartment,Apartment / Unit / Flat,Sold,"32/8-12  Market Street, Rockdale NSW 2216",NSW,st_george,Rockdale,2216,37352,"$400,000 ","$400,000 ",0,0,2,2,1,0K,"Balcony / Deck,Built in wardrobes,Dishwasher,Ensuite(s),Gas,Intercom,Internal Laundry,Secure parking,Secure Parking"
XU-0748-MK,Apartment,Apartment / Unit / Flat,Sold,"14/10 Dalleys Road, Naremburn NSW 2065",NSW,north_shore_lower,Naremburn,2065,31962,"$717,000 ","$717,000 ",0,0,2,2,1,0K,
,Apartment,Apartment / Unit / Flat,Sold,"15/37-41 Chamberlain Street, Campbelltown NSW 2560",NSW,macarthur_camden,Campbelltown,2560,8532,"$444,000 ","$444,000 ",0,0,2,2,1,0K,
A6200862,Apartment,Apartment / Unit / Flat,Sold,"401/99 Jones Street, Ultimo NSW 2007",NSW,inner_west,Ultimo,2007,44522,Price Withheld,$0 ,0,0,1,1,1,0K,"Balcony / Patio / Terrace,Bath,Built in Wardrobes,Close to Schools,Close to Shops,Concierge / Manager,Gym,Intercom,Internal Laundry,Lift,Modern Bathroom,Modern Kitchen,Quiet Location,Secure parking,Spa,Swimming Pool"
A19130002,Apartment,Apartment / Unit / Flat,Sold,"80/18-26 Church Avenue, Mascot NSW 2020",NSW,eastern_suburbs,Mascot,2020,27742,Price Withheld,$0 ,0,0,2,2,2,0K,"Balcony / Patio / Terrace,Bath,Built in Wardrobes,Close to Schools,Close to Shops,Close to Transport,Concierge / Manager,Ensuite(s),Gas,Gym,Intercom,Internal Laundry,Lift,Modern Bathroom,Modern Kitchen,Spa,Swimming Pool"
,Apartment,Apartment / Unit / Flat,Sold,"41/17-19 Macarthur Street, Ultimo NSW 2007",NSW,inner_west,Ultimo,2007,44522,Price Withheld,$0 ,0,0,1,1,1,0K,
DT-2571-OU,Apartment,Apartment / Unit / Flat,Sold,"1/1 Bennett Street, NEUTRAL BAY NSW 2089",NSW,north_shore_lower,Neutral Bay,2089,32332,"$790,000 ","$790,000 ",0,0,2,1,1,0K,"Balcony / Deck, Built in wardrobes, Dishwasher"
UK-2381-LZ,Apartment,Apartment / Unit / Flat,Sold,"101/2 Sylvan Avenue, Balgowlah NSW 2093",NSW,northern_beaches,Balgowlah,2093,1752,"$780,000 ","$780,000 ",0,0,2,1,1,0K,
A5907437,Apartment,Apartment / Unit / Flat,Sold,"7/57-59 Parramatta Street, CRONULLA NSW 2230",NSW,sutherland,Cronulla,2230,12262,"$450,000 ","$450,000 ",0,0,1,1,1,0K,"Close to Schools, Close to Shops, Close to Transport, Balcony, Broadband"
A5386300,Apartment,Apartment / Unit / Flat,Sold,"11/24 Marlborough Street, Drummoyne NSW 2047",NSW,inner_west,Drummoyne,2047,14142,Price Withheld,$0 ,0,0,1,1,1,0K,Secure Parking
A25793502,Apartment,Apartment / Unit / Flat,Sold,"12/442-444 King Georges Road, Beverly Hills NSW 2209",NSW,st_george,Beverly Hills,2209,3832,"$400,000 ","$400,000 ",0,0,2,2,2,0K,
RA-0609-HV,Apartment,Apartment / Unit / Flat,Sold,"5/40 West Street, Hurstville NSW 2220",NSW,st_george,Hurstville,2220,21712,"$607,000 ","$607,000 ",0,0,2,1,1,0K,Store Room
LT-0253-FN,Apartment,Apartment / Unit / Flat,Sold,"710/2 York Street, Sydney NSW 2000",NSW,sydney_city,Sydney,2000,41352,"$655,000 ","$655,000 ",0,0,1,1,1,0K,
,Apartment,Apartment / Unit / Flat,Sold,"3/10 MacPherson Street, Cremorne NSW 2090",NSW,north_shore_lower,Cremorne,2090,12182,"$604,000 ","$604,000 ",0,0,1,1,1,0K,
,House,House,Sold,"215 Victoria Street, BEACONSFIELD NSW 2015",NSW,inner_west,Beaconsfield,2015,2742,"$700,000 ","$700,000 ",0,121.00 sqm,2,1,1,0K,
